ghe.qn,ghe.ghe_Tin,ghe.q_time[n],ghe.ghe_load[n],ghe.q_lntts[n],ghe.g_data[n],ghe.ghe_Tout[n],ghe.ghe_Tf[n],ghe.c1
-7.36941,6.94788e-310,428400,-7.36941,-7.86081,2.73488,7.02261,6.58396,-19.9882
-7.36951,6.94788e-310,432000,-7.36951,-7.85245,2.74064,7.01909,6.58043,-20.0323
-7.36962,6.94788e-310,435600,-7.36962,-7.84415,2.74634,7.01559,6.57692,-20.076
-7.36972,6.94788e-310,439200,-7.36972,-7.83592,2.752,7.01213,6.57345,-20.1193
-7.36982,6.94788e-310,442800,-7.36982,-7.82775,2.75762,7.00869,6.57001,-20.1623
-7.36991,6.94788e-310,446400,-7.36991,-7.81966,2.76319,7.00528,6.5666,-20.2049
-7.37,6.94788e-310,450000,-7.37,-7.81162,2.76871,7.00191,6.56321,-20.2471
-7.37009,6.94788e-310,453600,-7.37009,-7.80366,2.77419,6.99856,6.55986,-20.289
-7.37018,6.94788e-310,457200,-7.37018,-7.79575,2.77881,6.99523,6.55653,-20.3306
-7.37063,6.94788e-310,460800,-7.37063,-7.78791,2.78269,6.99198,6.55325,-20.3694
-7.37164,6.94788e-310,464400,-7.37164,-7.78012,2.78654,6.98887,6.55008,-20.4045
-7.37294,6.94788e-310,468000,-7.37294,-7.7724,2.79036,6.98592,6.54706,-20.4376
-7.37419,6.94788e-310,471600,-7.37419,-7.76474,2.79415,6.98315,6.54421,-20.4697
-7.3752,6.94788e-310,475200,-7.3752,-7.75714,2.79791,6.9805,6.5415,-20.5013
-7.37592,6.94788e-310,478800,-7.37592,-7.74959,2.80165,6.97796,6.53891,-20.5323
-7.37639,6.94788e-310,482400,-7.37639,-7.7421,2.80535,6.97548,6.53641,-20.563
-7.37671,6.94788e-310,486000,-7.37671,-7.73466,2.80903,6.97306,6.53397,-20.5931
-7.37694,6.94788e-310,489600,-7.37694,-7.72728,2.81268,6.97067,6.53157,-20.6228
-7.37713,6.94788e-310,493200,-7.37713,-7.71996,2.81631,6.96832,6.52921,-20.652
-7.37729,6.94788e-310,496800,-7.37729,-7.71268,2.8199,6.966,6.52688,-20.6808
-7.37744,6.94788e-310,500400,-7.37744,-7.70546,2.82348,6.96372,6.52458,-20.7093
-7.37759,6.94788e-310,504000,-7.37759,-7.69829,2.82702,6.96146,6.52231,-20.7374
-7.37772,6.94788e-310,507600,-7.37772,-7.69118,2.83054,6.95922,6.52007,-20.7651
-7.37783,6.94788e-310,511200,-7.37783,-7.68411,2.83404,6.95702,6.51786,-20.7926
-7.37794,6.94788e-310,514800,-7.37794,-7.67709,2.83751,6.95483,6.51567,-20.8198
-7.37803,6.94788e-310,518400,-7.37803,-7.67012,2.84096,6.95267,6.51351,-20.8468
-7.37811,6.94788e-310,522000,-7.37811,-7.6632,2.84438,6.95054,6.51136,-20.8735
-7.37819,6.94788e-310,525600,-7.37819,-7.65633,2.84778,6.94842,6.50924,-20.9
-7.37826,6.94788e-310,529200,-7.37826,-7.6495,2.85116,6.94632,6.50713,-20.9262
-7.37832,6.94788e-310,532800,-7.37832,-7.64272,2.85451,6.94424,6.50505,-20.9522
-7.37838,6.94788e-310,536400,-7.37838,-7.63599,2.85785,6.94217,6.50298,-20.978
-7.37843,6.94788e-310,540000,-7.37843,-7.6293,2.86115,6.94013,6.50093,-21.0036
-7.37848,6.94788e-310,543600,-7.37848,-7.62266,2.86444,6.9381,6.4989,-21.029
-7.37853,6.94788e-310,547200,-7.37853,-7.61606,2.86771,6.93608,6.49689,-21.0542
-7.37858,6.94788e-310,550800,-7.37858,-7.6095,2.87095,6.93409,6.49489,-21.0792
-7.37862,6.94788e-310,554400,-7.37862,-7.60298,2.87417,6.9321,6.4929,-21.104
-7.37866,6.94788e-310,558000,-7.37866,-7.59651,2.87738,6.93014,6.49093,-21.1287
-7.3787,6.94788e-310,561600,-7.3787,-7.59008,2.88056,6.92819,6.48898,-21.1531
-7.37873,6.94788e-310,565200,-7.37873,-7.58369,2.88372,6.92625,6.48704,-21.1774
-7.37877,6.94788e-310,568800,-7.37877,-7.57734,2.88686,6.92432,6.48511,-21.2015
-7.3788,6.94788e-310,572400,-7.3788,-7.57103,2.88998,6.92241,6.4832,-21.2254
-7.37883,6.94788e-310,576000,-7.37883,-7.56476,2.89308,6.92052,6.4813,-21.2492
-7.37886,6.94788e-310,579600,-7.37886,-7.55853,2.89617,6.91864,6.47942,-21.2728
-7.37888,6.94788e-310,583200,-7.37888,-7.55234,2.89923,6.91677,6.47755,-21.2962
-7.37891,6.94788e-310,586800,-7.37891,-7.54619,2.90227,6.91491,6.47569,-21.3195
-7.37893,6.94788e-310,590400,-7.37893,-7.54007,2.9053,6.91306,6.47384,-21.3426
-7.37896,6.94788e-310,594000,-7.37896,-7.53399,2.90831,6.91123,6.47201,-21.3656
-7.37898,6.94788e-310,597600,-7.37898,-7.52795,2.9113,6.90941,6.47019,-21.3884
-7.379,6.94788e-310,601200,-7.379,-7.52194,2.91427,6.9076,6.46838,-21.4111
-7.37902,6.94788e-310,604800,-7.37902,-7.51597,2.91722,6.90581,6.46658,-21.4336
-7.37904,6.94788e-310,608400,-7.37904,-7.51004,2.92016,6.90402,6.4648,-21.456
-7.37906,6.94788e-310,612000,-7.37906,-7.50414,2.92308,6.90225,6.46302,-21.4782
-7.37907,6.94788e-310,615600,-7.37907,-7.49827,2.92598,6.90049,6.46126,-21.5003
-7.37909,6.94788e-310,619200,-7.37909,-7.49244,2.92886,6.89874,6.45951,-21.5223
-7.37911,6.94788e-310,622800,-7.37911,-7.48665,2.93173,6.897,6.45777,-21.5441
-7.37912,6.94788e-310,626400,-7.37912,-7.48088,2.93458,6.89527,6.45604,-21.5658
-7.37913,6.94788e-310,630000,-7.37913,-7.47515,2.93742,6.89355,6.45432,-21.5873
-7.37915,6.94788e-310,633600,-7.37915,-7.46945,2.94023,6.89185,6.45261,-21.6088
-7.37916,6.94788e-310,637200,-7.37916,-7.46379,2.94304,6.89015,6.45091,-21.6301
-7.37917,6.94788e-310,640800,-7.37917,-7.45815,2.94583,6.88846,6.44923,-21.6512
-7.37918,6.94788e-310,644400,-7.37918,-7.45255,2.9486,6.88678,6.44755,-21.6723
-7.37919,6.94788e-310,648000,-7.37919,-7.44698,2.95135,6.88512,6.44588,-21.6932
-7.3792,6.94788e-310,651600,-7.3792,-7.44144,2.95409,6.88346,6.44422,-21.714
-7.37921,6.94788e-310,655200,-7.37921,-7.43593,2.95682,6.88181,6.44258,-21.7347
-7.37922,6.94788e-310,658800,-7.37922,-7.43045,2.95953,6.88018,6.44094,-21.7553
-7.37923,6.94788e-310,662400,-7.37923,-7.425,2.96223,6.87855,6.43931,-21.7757
-7.37924,6.94788e-310,666000,-7.37924,-7.41958,2.96491,6.87693,6.43769,-21.796
-7.37924,6.94788e-310,669600,-7.37924,-7.41419,2.96757,6.87532,6.43608,-21.8162
-7.37925,6.94788e-310,673200,-7.37925,-7.40883,2.97023,6.87372,6.43448,-21.8363
-7.37925,6.94788e-310,676800,-7.37925,-7.4035,2.97287,6.87213,6.43289,-21.8563
-7.37926,6.94788e-310,680400,-7.37926,-7.39819,2.97549,6.87055,6.4313,-21.8762
-7.37926,6.94788e-310,684000,-7.37926,-7.39291,2.9781,6.86897,6.42973,-21.8959
-7.37927,6.94788e-310,687600,-7.37927,-7.38766,2.9807,6.86741,6.42817,-21.9156
-7.37927,6.94788e-310,691200,-7.37927,-7.38244,2.98328,6.86585,6.42661,-21.9352
-7.37927,6.94788e-310,694800,-7.37927,-7.37725,2.98585,6.8643,6.42506,-21.9546
-7.37927,6.94788e-310,698400,-7.37927,-7.37208,2.98841,6.86276,6.42352,-21.974
-7.37927,6.94788e-310,702000,-7.37927,-7.36694,2.99095,6.86123,6.42199,-21.9932
-7.37927,6.94788e-310,705600,-7.37927,-7.36182,2.99348,6.85971,6.42047,-22.0124
-7.37927,6.94788e-310,709200,-7.37927,-7.35673,2.996,6.85819,6.41895,-22.0314
-7.37927,6.94788e-310,712800,-7.37927,-7.35167,2.9985,6.85668,6.41744,-22.0504
-7.37927,6.94788e-310,716400,-7.37927,-7.34663,3.001,6.85518,6.41594,-22.0692
-7.37927,6.94788e-310,720000,-7.37927,-7.34162,3.00348,6.85369,6.41445,-22.088
-7.37927,6.94788e-310,723600,-7.37927,-7.33663,3.00594,6.85221,6.41296,-22.1066
-7.37927,6.94788e-310,727200,-7.37927,-7.33167,3.0084,6.85073,6.41149,-22.1252
-7.37927,6.94788e-310,730800,-7.37927,-7.32673,3.01084,6.84926,6.41002,-22.1437
-7.37927,6.94788e-310,734400,-7.37927,-7.32182,3.01327,6.8478,6.40856,-22.162
-7.37927,6.94788e-310,738000,-7.37927,-7.31693,3.01569,6.84634,6.4071,-22.1803
-7.37926,6.94788e-310,741600,-7.37926,-7.31206,3.0181,6.8449,6.40566,-22.1985
-7.37926,6.94788e-310,745200,-7.37926,-7.30722,3.0205,6.84346,6.40422,-22.2166
-7.37926,6.94788e-310,748800,-7.37926,-7.3024,3.02288,6.84203,6.40278,-22.2346
-7.37926,6.94788e-310,752400,-7.37926,-7.2976,3.02525,6.8406,6.40136,-22.2525
-7.37926,6.94788e-310,756000,-7.37926,-7.29283,3.02761,6.83918,6.39994,-22.2703
-7.37925,6.94788e-310,759600,-7.37925,-7.28808,3.02996,6.83777,6.39853,-22.2881
-7.37925,6.94788e-310,763200,-7.37925,-7.28335,3.0323,6.83637,6.39713,-22.3057
-7.37925,6.94788e-310,766800,-7.37925,-7.27865,3.03463,6.83497,6.39573,-22.3233
-7.37924,6.94788e-310,770400,-7.37924,-7.27396,3.03695,6.83358,6.39434,-22.3408
-7.37924,6.94788e-310,774000,-7.37924,-7.2693,3.03926,6.8322,6.39296,-22.3582
-7.37923,6.94788e-310,777600,-7.37923,-7.26466,3.04155,6.83082,6.39158,-22.3755
-7.37923,6.94788e-310,781200,-7.37923,-7.26004,3.04384,6.82945,6.39021,-22.3927
-7.37922,6.94788e-310,784800,-7.37922,-7.25544,3.04611,6.82809,6.38885,-22.4099
-7.37922,6.94788e-310,788400,-7.37922,-7.25087,3.04837,6.82673,6.38749,-22.4269
-7.37921,6.94788e-310,792000,-7.37921,-7.24631,3.05063,6.82538,6.38614,-22.4439
-7.37921,6.94788e-310,795600,-7.37921,-7.24177,3.05287,6.82404,6.3848,-22.4608
-7.3792,6.94788e-310,799200,-7.3792,-7.23726,3.05511,6.8227,6.38346,-22.4776
-7.37919,6.94788e-310,802800,-7.37919,-7.23277,3.05733,6.82137,6.38213,-22.4944
-7.37919,6.94788e-310,806400,-7.37919,-7.22829,3.05954,6.82004,6.3808,-22.5111
-7.37918,6.94788e-310,810000,-7.37918,-7.22384,3.06175,6.81872,6.37949,-22.5276
-7.37918,6.94788e-310,813600,-7.37918,-7.2194,3.06394,6.81741,6.37817,-22.5442
-7.37917,6.94788e-310,817200,-7.37917,-7.21499,3.06612,6.8161,6.37687,-22.5606
-7.37916,6.94788e-310,820800,-7.37916,-7.21059,3.0683,6.8148,6.37557,-22.577
-7.37915,6.94788e-310,824400,-7.37915,-7.20622,3.07046,6.81351,6.37427,-22.5933
-7.37915,6.94788e-310,828000,-7.37915,-7.20186,3.07262,6.81222,6.37298,-22.6095
-7.37914,6.94788e-310,831600,-7.37914,-7.19752,3.07476,6.81093,6.3717,-22.6256
-7.37913,6.94788e-310,835200,-7.37913,-7.1932,3.07689,6.80966,6.37042,-22.6417
-7.37913,6.94788e-310,838800,-7.37913,-7.1889,3.079,6.80839,6.36915,-22.6576
-7.37913,6.94788e-310,842400,-7.37913,-7.18462,3.08111,6.80712,6.36789,-22.6735
-7.37913,6.94788e-310,846000,-7.37913,-7.18035,3.08321,6.80586,6.36663,-22.6893
-7.37913,6.94788e-310,849600,-7.37913,-7.17611,3.0853,6.80461,6.36538,-22.7051
-7.37913,6.94788e-310,853200,-7.37913,-7.17188,3.08738,6.80337,6.36413,-22.7207
-7.37912,6.94788e-310,856800,-7.37912,-7.16767,3.08945,6.80213,6.3629,-22.7363
-7.37911,6.94788e-310,860400,-7.37911,-7.16347,3.09152,6.8009,6.36166,-22.7518
-7.37911,6.94788e-310,864000,-7.37911,-7.1593,3.09357,6.79967,6.36044,-22.7673
-7.3791,6.94788e-310,867600,-7.3791,-7.15514,3.09562,6.79844,6.35921,-22.7827
-7.37909,6.94788e-310,871200,-7.37909,-7.151,3.09766,6.79723,6.358,-22.798
-7.37908,6.94788e-310,874800,-7.37908,-7.14688,3.09969,6.79602,6.35678,-22.8132
-7.37907,6.94788e-310,878400,-7.37907,-7.14277,3.10171,6.79481,6.35558,-22.8284
-7.37906,6.94788e-310,882000,-7.37906,-7.13868,3.10372,6.79361,6.35438,-22.8435
-7.37905,6.94788e-310,885600,-7.37905,-7.13461,3.10573,6.79241,6.35318,-22.8586
-7.37904,6.94788e-310,889200,-7.37904,-7.13055,3.10772,6.79122,6.35199,-22.8736
-7.37903,6.94788e-310,892800,-7.37903,-7.12651,3.10971,6.79003,6.35081,-22.8885
-7.37902,6.94788e-310,896400,-7.37902,-7.12248,3.11169,6.78885,6.34963,-22.9034
-7.37901,6.94788e-310,900000,-7.37901,-7.11848,3.11367,6.78768,6.34845,-22.9182
-7.379,6.94788e-310,903600,-7.379,-7.11448,3.11563,6.7865,6.34728,-22.9329
-7.37899,6.94788e-310,907200,-7.37899,-7.11051,3.11759,6.78534,6.34611,-22.9476
-7.37898,6.94788e-310,910800,-7.37898,-7.10655,3.11954,6.78418,6.34495,-22.9623
