n,GHE Load,ghe_Tin/HP_Tout,ghe_Tout/HP_Tin,bldgload
224,-7.38483,6.09458,6.97373,1000
225,-7.38482,6.09313,6.97228,1000
226,-7.38481,6.09169,6.97083,1000
227,-7.38479,6.09025,6.96939,1000
228,-7.38478,6.08882,6.96796,1000
229,-7.38477,6.0874,6.96654,1000
230,-7.3872,6.08598,6.96541,1000
231,-7.39073,6.08485,6.9647,1000
232,-7.3924,6.08415,6.9642,1000
233,-7.39221,6.08366,6.96368,1000
234,-7.39108,6.08314,6.96303,1000
235,-7.38984,6.08249,6.96223,1000
236,-7.3889,6.0817,6.96133,1000
237,-7.38836,6.0808,6.96036,1000
238,-7.38811,6.07984,6.95937,1000
239,-7.38804,6.07885,6.95838,1000
240,-7.38804,6.07787,6.95739,1000
241,-7.38804,6.07688,6.95641,1000
242,-7.38803,6.07591,6.95544,1000
243,-7.38801,6.07494,6.95446,1000
244,-7.38797,6.07396,6.95349,1000
245,-7.38794,6.073,6.95251,1000
246,-7.3879,6.07203,6.95154,1000
247,-7.38788,6.07106,6.95057,1000
248,-7.38785,6.07009,6.9496,1000
249,-7.38784,6.06913,6.94863,1000
250,-7.38782,6.06817,6.94767,1000
251,-7.38781,6.06721,6.94671,1000
252,-7.38779,6.06626,6.94576,1000
253,-7.38779,6.06531,6.94481,1000
254,-7.38779,6.06436,6.94386,1000
255,-7.3878,6.06342,6.94292,1000
256,-7.38779,6.06249,6.94198,1000
257,-7.38778,6.06155,6.94105,1000
258,-7.38777,6.06063,6.94012,1000
259,-7.38775,6.0597,6.9392,1000
260,-7.38773,6.05878,6.93827,1000
261,-7.38771,6.05786,6.93735,1000
262,-7.3877,6.05695,6.93643,1000
263,-7.38769,6.05603,6.93552,1000
264,-7.38768,6.05512,6.93461,1000
265,-7.38766,6.05422,6.9337,1000
266,-7.38765,6.05331,6.9328,1000
267,-7.38764,6.05241,6.9319,1000
268,-7.38763,6.05152,6.931,1000
269,-7.38762,6.05062,6.9301,1000
270,-7.38761,6.04973,6.92921,1000
271,-7.3876,6.04885,6.92832,1000
272,-7.38758,6.04797,6.92744,1000
273,-7.38757,6.04709,6.92656,1000
274,-7.38756,6.04621,6.92568,1000
275,-7.38755,6.04533,6.9248,1000
276,-7.38754,6.04446,6.92393,1000
277,-7.38752,6.0436,6.92306,1000
278,-7.38751,6.04273,6.9222,1000
279,-7.3875,6.04187,6.92134,1000
280,-7.38749,6.04101,6.92048,1000
281,-7.38748,6.04016,6.91962,1000
282,-7.38746,6.03931,6.91877,1000
283,-7.38745,6.03846,6.91792,1000
284,-7.38744,6.03761,6.91707,1000
285,-7.38743,6.03677,6.91622,1000
286,-7.38741,6.03593,6.91538,1000
287,-7.3874,6.03509,6.91454,1000
288,-7.38739,6.03426,6.91371,1000
289,-7.38738,6.03342,6.91287,1000
290,-7.38736,6.0326,6.91204,1000
291,-7.38735,6.03177,6.91122,1000
292,-7.38734,6.03095,6.91039,1000
293,-7.38733,6.03013,6.90957,1000
294,-7.38733,6.02931,6.90875,1000
295,-7.38733,6.0285,6.90794,1000
296,-7.38733,6.02769,6.90713,1000
297,-7.38732,6.02688,6.90633,1000
