n,g_data[n],q_lntts[n],q_time[n]
380,2.98883,-6.69977,1368000
381,2.98994,-6.69714,1371600
382,2.99105,-6.69452,1375200
383,2.99216,-6.6919,1378800
384,2.99327,-6.68929,1382400
385,2.99437,-6.68669,1386000
386,2.99547,-6.6841,1389600
387,2.99657,-6.68151,1393200
388,2.99766,-6.67893,1396800
389,2.99876,-6.67636,1400400
390,2.99984,-6.67379,1404000
391,3.00093,-6.67123,1407600
392,3.00201,-6.66868,1411200
393,3.00309,-6.66613,1414800
394,3.00417,-6.66359,1418400
395,3.00525,-6.66105,1422000
396,3.00632,-6.65852,1425600
397,3.00739,-6.656,1429200
398,3.00845,-6.65349,1432800
399,3.00952,-6.65098,1436400
400,3.01058,-6.64847,1440000
401,3.01164,-6.64598,1443600
402,3.01269,-6.64349,1447200
403,3.01375,-6.641,1450800
404,3.0148,-6.63852,1454400
405,3.01585,-6.63605,1458000
406,3.01689,-6.63358,1461600
407,3.01794,-6.63112,1465200
408,3.01898,-6.62867,1468800
409,3.02001,-6.62622,1472400
410,3.02105,-6.62378,1476000
411,3.02208,-6.62134,1479600
412,3.02311,-6.61891,1483200
413,3.02414,-6.61649,1486800
414,3.02517,-6.61407,1490400
415,3.02619,-6.61166,1494000
416,3.02721,-6.60925,1497600
417,3.02823,-6.60685,1501200
418,3.02924,-6.60446,1504800
419,3.03026,-6.60207,1508400
420,3.03127,-6.59968,1512000
421,3.03228,-6.5973,1515600
422,3.03328,-6.59493,1519200
423,3.03429,-6.59257,1522800
424,3.03529,-6.5902,1526400
425,3.03629,-6.58785,1530000
426,3.03728,-6.5855,1533600
427,3.03828,-6.58315,1537200
428,3.03927,-6.58081,1540800
429,3.04026,-6.57848,1544400
430,3.04125,-6.57615,1548000
431,3.04223,-6.57383,1551600
432,3.04321,-6.57151,1555200
433,3.0442,-6.5692,1558800
434,3.04517,-6.56689,1562400
435,3.04615,-6.56459,1566000
436,3.04712,-6.56229,1569600
437,3.04809,-6.56,1573200
438,3.04906,-6.55772,1576800
439,3.05003,-6.55544,1580400
440,3.051,-6.55316,1584000
441,3.05196,-6.55089,1587600
442,3.05292,-6.54863,1591200
443,3.05388,-6.54637,1594800
444,3.05483,-6.54411,1598400
445,3.05579,-6.54186,1602000
446,3.05674,-6.53962,1605600
447,3.05769,-6.53738,1609200
448,3.05864,-6.53514,1612800
449,3.05958,-6.53291,1616400
450,3.06052,-6.53069,1620000
451,3.06147,-6.52847,1623600
452,3.06241,-6.52626,1627200
453,3.06334,-6.52405,1630800
454,3.06428,-6.52184,1634400
455,3.06521,-6.51964,1638000
456,3.06614,-6.51744,1641600
457,3.06707,-6.51525,1645200
458,3.068,-6.51307,1648800
459,3.06892,-6.51089,1652400
460,3.06985,-6.50871,1656000
461,3.07077,-6.50654,1659600
462,3.07168,-6.50437,1663200
463,3.0726,-6.50221,1666800
464,3.07352,-6.50005,1670400
465,3.07474,-6.4979,1674000
466,3.07598,-6.49575,1677600
467,3.07721,-6.49361,1681200
468,3.07844,-6.49147,1684800
469,3.07966,-6.48933,1688400
470,3.08089,-6.4872,1692000
471,3.08211,-6.48508,1695600
472,3.08332,-6.48296,1699200
473,3.08454,-6.48084,1702800
474,3.08575,-6.47873,1706400
475,3.08696,-6.47662,1710000
476,3.08817,-6.47452,1713600
477,3.08938,-6.47242,1717200
478,3.09058,-6.47033,1720800
479,3.09178,-6.46824,1724400
480,3.09298,-6.46615,1728000
481,3.09417,-6.46407,1731600
482,3.09536,-6.46199,1735200
483,3.09655,-6.45992,1738800
484,3.09774,-6.45785,1742400
485,3.09893,-6.45579,1746000
486,3.10011,-6.45373,1749600
487,3.10129,-6.45167,1753200
488,3.10247,-6.44962,1756800
489,3.10364,-6.44757,1760400
490,3.10482,-6.44553,1764000
491,3.10599,-6.44349,1767600
492,3.10716,-6.44146,1771200
493,3.10832,-6.43943,1774800
494,3.10949,-6.4374,1778400
495,3.11065,-6.43538,1782000
496,3.11181,-6.43336,1785600
497,3.11296,-6.43135,1789200
498,3.11412,-6.42934,1792800
499,3.11527,-6.42733,1796400
500,3.11642,-6.42533,1800000
501,3.11757,-6.42333,1803600
502,3.11871,-6.42134,1807200
503,3.11985,-6.41935,1810800
504,3.12099,-6.41736,1814400
505,3.12213,-6.41538,1818000
506,3.12327,-6.4134,1821600
507,3.1244,-6.41143,1825200
508,3.12553,-6.40946,1828800
509,3.12666,-6.40749,1832400
510,3.12779,-6.40553,1836000
511,3.12891,-6.40357,1839600
512,3.13004,-6.40161,1843200
513,3.13116,-6.39966,1846800
514,3.13228,-6.39771,1850400
515,3.13339,-6.39577,1854000
516,3.13451,-6.39383,1857600
517,3.13562,-6.39189,1861200
518,3.13673,-6.38996,1864800
519,3.13783,-6.38803,1868400
520,3.13894,-6.38611,1872000
521,3.14004,-6.38419,1875600
522,3.14114,-6.38227,1879200
523,3.14224,-6.38036,1882800
524,3.14334,-6.37845,1886400
525,3.14444,-6.37654,1890000
526,3.14553,-6.37464,1893600
527,3.14662,-6.37274,1897200
528,3.14771,-6.37084,1900800
529,3.14879,-6.36895,1904400
530,3.14988,-6.36706,1908000
531,3.15096,-6.36518,1911600
532,3.15204,-6.36329,1915200
533,3.15312,-6.36142,1918800
534,3.1542,-6.35954,1922400
535,3.15527,-6.35767,1926000
536,3.15634,-6.3558,1929600
537,3.15741,-6.35394,1933200
538,3.15848,-6.35208,1936800
539,3.15955,-6.35022,1940400
540,3.16061,-6.34837,1944000
541,3.16167,-6.34652,1947600
542,3.16274,-6.34467,1951200
543,3.16379,-6.34283,1954800
544,3.16485,-6.34099,1958400
545,3.16591,-6.33915,1962000
546,3.16696,-6.33732,1965600
547,3.16801,-6.33549,1969200
548,3.16906,-6.33366,1972800
549,3.1701,-6.33184,1976400
550,3.17115,-6.33002,1980000
551,3.17219,-6.3282,1983600
552,3.17323,-6.32639,1987200
553,3.17427,-6.32458,1990800
554,3.17531,-6.32277,1994400
555,3.17635,-6.32097,1998000
556,3.17738,-6.31917,2001600
557,3.17841,-6.31737,2005200
558,3.17944,-6.31558,2008800
559,3.18047,-6.31379,2012400
560,3.1815,-6.312,2016000
561,3.18252,-6.31022,2019600
562,3.18354,-6.30844,2023200
563,3.18456,-6.30666,2026800
564,3.18558,-6.30488,2030400
565,3.1866,-6.30311,2034000
566,3.18762,-6.30134,2037600
567,3.18863,-6.29958,2041200
568,3.18964,-6.29782,2044800
569,3.19065,-6.29606,2048400
570,3.19166,-6.2943,2052000
571,3.19267,-6.29255,2055600
572,3.19367,-6.2908,2059200
573,3.19467,-6.28905,2062800
574,3.19568,-6.28731,2066400
575,3.19668,-6.28557,2070000
576,3.19767,-6.28383,2073600
577,3.19867,-6.28209,2077200
578,3.19966,-6.28036,2080800
579,3.20066,-6.27863,2084400
580,3.20165,-6.27691,2088000
581,3.20264,-6.27519,2091600
582,3.20362,-6.27347,2095200
583,3.20461,-6.27175,2098800
584,3.20559,-6.27004,2102400
585,3.20658,-6.26833,2106000
586,3.20756,-6.26662,2109600
587,3.20854,-6.26491,2113200
588,3.20951,-6.26321,2116800
589,3.21049,-6.26151,2120400
590,3.21146,-6.25981,2124000
591,3.21244,-6.25812,2127600
592,3.21341,-6.25643,2131200
593,3.21438,-6.25474,2134800
594,3.21534,-6.25306,2138400
595,3.21631,-6.25138,2142000
596,3.21727,-6.2497,2145600
597,3.21824,-6.24802,2149200
598,3.2192,-6.24635,2152800
599,3.22016,-6.24468,2156400
600,3.22112,-6.24301,2160000
601,3.22207,-6.24134,2163600
602,3.22303,-6.23968,2167200
603,3.22398,-6.23802,2170800
604,3.22493,-6.23636,2174400
605,3.22588,-6.23471,2178000
606,3.22683,-6.23306,2181600
607,3.22778,-6.23141,2185200
608,3.22872,-6.22976,2188800
609,3.22966,-6.22812,2192400
610,3.23061,-6.22648,2196000
611,3.23155,-6.22484,2199600
612,3.23249,-6.2232,2203200
613,3.23342,-6.22157,2206800
614,3.23436,-6.21994,2210400
615,3.23529,-6.21831,2214000
616,3.23623,-6.21669,2217600
617,3.23716,-6.21507,2221200
618,3.23809,-6.21345,2224800
619,3.23902,-6.21183,2228400
620,3.23994,-6.21022,2232000
621,3.24087,-6.20861,2235600
622,3.24179,-6.207,2239200
623,3.24272,-6.20539,2242800
624,3.24364,-6.20379,2246400
625,3.24456,-6.20219,2250000
626,3.24547,-6.20059,2253600
627,3.24639,-6.19899,2257200
628,3.24731,-6.1974,2260800
629,3.24822,-6.19581,2264400
630,3.24913,-6.19422,2268000
631,3.25004,-6.19263,2271600
632,3.25095,-6.19105,2275200
633,3.25186,-6.18947,2278800
634,3.25277,-6.18789,2282400
635,3.25367,-6.18631,2286000
636,3.25458,-6.18474,2289600
637,3.25548,-6.18317,2293200
638,3.25638,-6.1816,2296800
639,3.25728,-6.18003,2300400
640,3.25818,-6.17847,2304000
641,3.25907,-6.17691,2307600
642,3.25997,-6.17535,2311200
643,3.26086,-6.17379,2314800
644,3.26175,-6.17224,2318400
645,3.26264,-6.17069,2322000
646,3.26353,-6.16914,2325600
647,3.26442,-6.16759,2329200
648,3.26531,-6.16605,2332800
649,3.26619,-6.1645,2336400
650,3.26708,-6.16296,2340000
651,3.26796,-6.16143,2343600
652,3.26884,-6.15989,2347200
653,3.26972,-6.15836,2350800
654,3.2706,-6.15683,2354400
655,3.27148,-6.1553,2358000
656,3.27236,-6.15378,2361600
657,3.27323,-6.15225,2365200
658,3.2741,-6.15073,2368800
659,3.27498,-6.14921,2372400
660,3.27585,-6.1477,2376000
661,3.27672,-6.14618,2379600
662,3.27758,-6.14467,2383200
663,3.27845,-6.14316,2386800
664,3.27932,-6.14166,2390400
665,3.28018,-6.14015,2394000
666,3.28104,-6.13865,2397600
667,3.2819,-6.13715,2401200
668,3.28277,-6.13565,2404800
669,3.28362,-6.13415,2408400
670,3.28448,-6.13266,2412000
671,3.28534,-6.13117,2415600
672,3.28619,-6.12968,2419200
673,3.28705,-6.12819,2422800
674,3.2879,-6.12671,2426400
675,3.28875,-6.12522,2430000
676,3.2896,-6.12374,2433600
677,3.29045,-6.12227,2437200
678,3.2913,-6.12079,2440800
679,3.29214,-6.11932,2444400
680,3.29299,-6.11784,2448000
681,3.29383,-6.11637,2451600
682,3.29468,-6.11491,2455200
683,3.29552,-6.11344,2458800
684,3.29636,-6.11198,2462400
685,3.2972,-6.11052,2466000
686,3.29803,-6.10906,2469600
687,3.29887,-6.1076,2473200
688,3.29971,-6.10615,2476800
689,3.30054,-6.1047,2480400
690,3.30137,-6.10325,2484000
691,3.3022,-6.1018,2487600
692,3.30303,-6.10035,2491200
693,3.30386,-6.09891,2494800
694,3.30469,-6.09747,2498400
695,3.30552,-6.09603,2502000
696,3.30634,-6.09459,2505600
697,3.30717,-6.09315,2509200
698,3.30799,-6.09172,2512800
699,3.30881,-6.09029,2516400
700,3.30964,-6.08886,2520000
701,3.31045,-6.08743,2523600
702,3.31127,-6.086,2527200
703,3.31209,-6.08458,2530800
704,3.31291,-6.08316,2534400
705,3.31372,-6.08174,2538000
706,3.31454,-6.08032,2541600
707,3.31535,-6.07891,2545200
708,3.31616,-6.07749,2548800
709,3.31697,-6.07608,2552400
710,3.31778,-6.07467,2556000
711,3.31859,-6.07326,2559600
712,3.3194,-6.07186,2563200
713,3.3202,-6.07046,2566800
714,3.32101,-6.06905,2570400
715,3.32181,-6.06765,2574000
716,3.32261,-6.06626,2577600
717,3.32341,-6.06486,2581200
718,3.32421,-6.06347,2584800
719,3.32501,-6.06208,2588400
720,3.32581,-6.06069,2592000
721,3.32661,-6.0593,2595600
722,3.3274,-6.05791,2599200
723,3.3282,-6.05653,2602800
724,3.32899,-6.05515,2606400
725,3.32979,-6.05377,2610000
726,3.33058,-6.05239,2613600
727,3.33137,-6.05101,2617200
728,3.33216,-6.04964,2620800
729,3.33295,-6.04826,2624400
730,3.33373,-6.04689,2628000
731,3.33452,-6.04552,2631600
732,3.3353,-6.04416,2635200
733,3.33609,-6.04279,2638800
734,3.33687,-6.04143,2642400
735,3.33765,-6.04007,2646000
736,3.33843,-6.03871,2649600
737,3.33921,-6.03735,2653200
738,3.33999,-6.03599,2656800
739,3.34077,-6.03464,2660400
740,3.34155,-6.03329,2664000
741,3.34232,-6.03194,2667600
742,3.3431,-6.03059,2671200
743,3.34387,-6.02924,2674800
744,3.34464,-6.0279,2678400
745,3.34541,-6.02655,2682000
746,3.34618,-6.02521,2685600
747,3.34695,-6.02387,2689200
748,3.34772,-6.02253,2692800
749,3.34849,-6.0212,2696400
750,3.34925,-6.01986,2700000
751,3.35002,-6.01853,2703600
752,3.35078,-6.0172,2707200
753,3.35155,-6.01587,2710800
754,3.35231,-6.01454,2714400
755,3.35307,-6.01322,2718000
756,3.35383,-6.0119,2721600
757,3.35459,-6.01057,2725200
758,3.35535,-6.00925,2728800
759,3.3561,-6.00794,2732400
