Total Load [W],FIELD A:Load [W],FIELD B:Load [W],FIELD A:Load [W/m],FIELD B:Load [W/m],FIELD A:MFT [C],FIELD B:MFT [C]
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.709465241819865,9.709465258889038
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70917194018211,9.709171957268763
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70888195275808,9.708881969862018
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.708595205484801,9.70859522260583
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.708311626754517,9.708311643892447
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.708031147307368,9.708031164462014
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.707753700129848,9.70775371730103
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.707479220358698,9.70747923754624
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70720764518989,9.707207662393618
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.706938913792369,9.706938931012113
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.706672967226273,9.70667298446187
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.706409748365338,9.70640976561662
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.706149201823242,9.706149219090054
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.705891273883665,9.70589129116585
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.705635912433815,9.70563592973122
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.705383066901218,9.705383084213691
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.705132688193633,9.705132705521029
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.704884728641817,9.704884745983993
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70463914194507,9.704639159301882
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.704395883119334,9.704395900490645
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.704154908447752,9.704154925833425
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.703903282997267,9.70390330039794
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70365377897172,9.703653796387265
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.703406553553567,9.703406570983846
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.703161565500192,9.703161582945077
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.702918774678682,9.702918792138037
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.702678142026354,9.702678159500053
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.702439629513051,9.702439647000968
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.702203200105068,9.702203217607076
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70196881773063,9.70196883524661
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.701736447246883,9.701736464776713
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.701506054408249,9.701506071951814
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.701277605836154,9.701277623393334
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.701051068989996,9.701051086560682
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.700826412139337,9.700826429723412
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.700603604337214,9.70060362193457
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70038261539458,9.700382633005109
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.70016341585573,9.700163433479325
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.699945976974753,9.699945994611308
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.699730270692909,9.699730288342323
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.699516269616893,9.699516287279064
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.699303946997968,9.699303964672794
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.699093276711887,9.69909329439927
-1000,-500.0000149011612,-499.9999850988388,-1.666666716337204,-1.6666666169961293,9.69888423323961,9.698884250939455
