Total Load [W],FIELD A:Load [W],FIELD A:Load [W/m],FIELD A:MFT [C]
-1000,-1000.0,-1.6666666666666667,9.670513885622498
-1000,-1000.0,-1.6666666666666667,9.67034470656989
-1000,-1000.0,-1.6666666666666667,9.670176134983771
-1000,-1000.0,-1.6666666666666667,9.670008166517317
-1000,-1000.0,-1.6666666666666667,9.669840796870195
-1000,-1000.0,-1.6666666666666667,9.669674021787904
-1000,-1000.0,-1.6666666666666667,9.669507837061122
-1000,-1000.0,-1.6666666666666667,9.66934223852507
-1000,-1000.0,-1.6666666666666667,9.669177222058886
-1000,-1000.0,-1.6666666666666667,9.669012783585012
-1000,-1000.0,-1.6666666666666667,9.668848919068584
-1000,-1000.0,-1.6666666666666667,9.668685624516842
-1000,-1000.0,-1.6666666666666667,9.668522895978546
-1000,-1000.0,-1.6666666666666667,9.668360729543403
-1000,-1000.0,-1.6666666666666667,9.6681991213415
-1000,-1000.0,-1.6666666666666667,9.66803806754275
-1000,-1000.0,-1.6666666666666667,9.66787756435635
-1000,-1000.0,-1.6666666666666667,9.667717608030252
-1000,-1000.0,-1.6666666666666667,9.667558194850617
-1000,-1000.0,-1.6666666666666667,9.66739932114132
-1000,-1000.0,-1.6666666666666667,9.667240983263424
-1000,-1000.0,-1.6666666666666667,9.667083177614694
-1000,-1000.0,-1.6666666666666667,9.666925900629094
-1000,-1000.0,-1.6666666666666667,9.666769148776309
-1000,-1000.0,-1.6666666666666667,9.666612918561272
-1000,-1000.0,-1.6666666666666667,9.666457206523686
-1000,-1000.0,-1.6666666666666667,9.666302009237576
-1000,-1000.0,-1.6666666666666667,9.666147323310833
-1000,-1000.0,-1.6666666666666667,9.665993145384762
-1000,-1000.0,-1.6666666666666667,9.665839472133658
-1000,-1000.0,-1.6666666666666667,9.665686300264362
-1000,-1000.0,-1.6666666666666667,9.665533626515845
-1000,-1000.0,-1.6666666666666667,9.665381447658792
-1000,-1000.0,-1.6666666666666667,9.665229760495185
-1000,-1000.0,-1.6666666666666667,9.665078561857912
-1000,-1000.0,-1.6666666666666667,9.664927848610358
-1000,-1000.0,-1.6666666666666667,9.66477761764602
-1000,-1000.0,-1.6666666666666667,9.664627865888125
-1000,-1000.0,-1.6666666666666667,9.664478590289244
-1000,-1000.0,-1.6666666666666667,9.664329787830933
-1000,-1000.0,-1.6666666666666667,9.664181455523353
-1000,-1000.0,-1.6666666666666667,9.664033590404916
-1000,-1000.0,-1.6666666666666667,9.663886189541932
-1000,-1000.0,-1.6666666666666667,9.663739250028257
-1000,-1000.0,-1.6666666666666667,9.663592768984948
-1000,-1000.0,-1.6666666666666667,9.663446743559927
-1000,-1000.0,-1.6666666666666667,9.66330117092765
-1000,-1000.0,-1.6666666666666667,9.663156048288771
-1000,-1000.0,-1.6666666666666667,9.663011372869827
-1000,-1000.0,-1.6666666666666667,9.662867141922915
-1000,-1000.0,-1.6666666666666667,9.662723352725385
-1000,-1000.0,-1.6666666666666667,9.662580002579523
-1000,-1000.0,-1.6666666666666667,9.662437088812254
-1000,-1000.0,-1.6666666666666667,9.662294608774838
-1000,-1000.0,-1.6666666666666667,9.662152559842582
-1000,-1000.0,-1.6666666666666667,9.662010939414543
-1000,-1000.0,-1.6666666666666667,9.661869744913247
-1000,-1000.0,-1.6666666666666667,9.661728973784404
